1.93,0.32,0.76,409.25,265.14,-80.20
1.97,-0.02,1.00,485.79,236.46,-76.05
1.97,-0.44,1.25,557.08,194.83,-72.21
1.97,-0.98,1.56,595.36,148.32,-81.30
1.97,-1.54,1.93,575.88,116.28,-101.81
1.97,-2.00,-1.94,478.35,106.20,-135.99
1.97,-2.00,-1.94,306.77,129.70,-185.19
1.97,-2.00,-1.94,99.92,104.62,-236.70
1.97,-2.00,-1.94,-70.62,17.52,-250.98
1.97,-1.87,-1.94,-152.04,-93.14,-221.26
1.86,-1.69,-1.94,-162.60,-173.77,-177.86
1.52,-1.51,-1.94,-140.93,-214.97,-123.91
1.29,-1.45,-1.94,-105.04,-249.70,-77.94
1.00,-1.52,1.97,-72.70,-289.07,-38.94
0.70,-1.60,1.84,-67.75,-323.86,-18.98
0.34,-1.68,1.64,-108.83,-349.31,-13.18
0.06,-1.70,1.35,-200.81,-360.55,-25.15
-0.10,-1.72,1.01,-319.10,-360.18,-55.42
-0.15,-1.72,0.66,-441.30,-355.48,-93.69
-0.07,-1.71,0.34,-541.34,-347.12,-129.83
0.01,-1.69,0.00,-605.91,-340.22,-148.38
0.10,-1.66,-0.27,-616.11,-340.04,-159.79
0.22,-1.59,-0.52,-580.03,-348.09,-158.27
0.24,-1.55,-0.77,-508.50,-357.49,-137.27
0.21,-1.50,-1.05,-419.87,-363.66,-118.59
0.12,-1.50,-1.36,-321.85,-382.27,-110.90
-0.08,-1.65,-1.94,-230.29,-405.77,-95.52
-0.49,-1.66,-1.94,-154.91,-376.54,-50.05
-1.03,-1.54,-1.94,-99.67,-272.90,36.93
-1.20,-1.30,-1.94,-44.19,-88.08,152.59
1.07,0.94,-1.72,-154.55,81.55,148.38
1.23,1.40,-1.76,-85.70,273.20,65.37
1.82,1.66,-1.57,38.09,402.17,9.52
1.97,1.78,-1.13,210.70,424.45,-29.97
1.97,1.68,-0.61,427.08,373.79,-61.65
1.97,1.20,-0.02,648.09,305.92,-101.32
1.97,0.20,0.71,852.75,260.14,-156.01
1.97,-1.29,1.40,1012.85,242.56,-214.61
1.97,-2.00,-1.94,1004.73,261.91,-298.17
1.97,-2.00,-1.94,766.44,305.31,-409.38
1.97,-2.00,-1.94,364.82,231.39,-484.02
1.97,-2.00,-1.94,-37.66,-18.37,-456.62
1.97,-2.00,-1.94,-246.89,-280.16,-364.51
1.65,-2.00,-1.94,-317.03,-423.41,-251.11
1.02,-2.00,1.85,-314.52,-461.20,-144.60
0.48,-2.00,1.43,-296.76,-457.29,-69.03
0.25,-1.83,1.08,-285.23,-446.36,-35.34
0.13,-1.71,0.75,-304.88,-451.12,-14.95
0.08,-1.66,0.42,-346.75,-466.20,-0.92
0.19,-1.64,0.03,-390.58,-481.46,7.20
0.35,-1.59,-0.36,-426.89,-489.70,13.31
0.47,-1.52,-0.69,-447.10,-492.75,6.84
0.63,-1.43,-1.03,-446.06,-486.89,-1.83
0.56,-1.34,-1.37,-421.03,-478.90,-11.54
0.22,-1.21,-1.77,-377.82,-432.02,-15.69
-0.12,-1.00,-1.94,-319.41,-339.79,-2.26
-0.37,-0.81,-1.94,-230.84,-259.35,46.27
-0.37,-0.69,-1.94,-117.92,-197.82,122.50
-0.36,-0.59,-1.94,-1.77,-153.08,204.47
-0.23,-0.53,-1.94,102.30,-111.82,275.77
1.97,-2.00,-1.94,299.26,356.27,-368.54
1.97,-2.00,-1.94,-430.62,104.50,-516.68
1.97,-2.00,-1.94,-466.26,-136.91,-459.67
1.94,-1.70,-1.94,-276.44,-235.48,-278.39
