1.96,0.62,0.94,69.58,98.39,55.54
1.84,0.68,0.87,77.94,30.09,55.24
1.53,0.71,0.81,73.18,-22.10,40.71
1.21,0.71,0.72,52.25,-39.25,19.35
0.98,0.69,0.62,20.39,-35.34,-0.92
0.78,0.70,0.52,-12.15,-22.83,-11.72
0.66,0.73,0.44,-34.55,-7.51,-14.47
0.59,0.74,0.37,-44.50,-2.62,-12.63
0.51,0.71,0.31,-48.83,-8.79,-12.15
0.40,0.69,0.25,-53.77,-15.44,-12.33
0.29,0.70,0.21,-59.63,-13.61,-10.44
0.24,0.73,0.19,-64.88,-5.74,-4.76
0.23,0.78,0.16,-64.64,2.75,3.66
0.29,0.84,0.14,-57.68,6.96,11.17
0.31,0.89,0.12,-44.25,0.31,15.56
0.31,0.94,0.14,-26.80,-5.55,19.78
0.32,0.98,0.16,-10.62,-9.28,26.73
0.37,1.02,0.19,3.30,-16.97,32.90
0.36,1.00,0.20,11.78,-27.53,35.95
0.34,0.98,0.21,9.16,-28.99,36.93
0.37,0.99,0.22,-0.79,-16.79,36.68
0.44,1.00,0.26,-12.70,-2.75,33.08
0.49,0.99,0.28,-20.20,1.65,23.56
0.49,0.97,0.29,-21.36,-3.66,13.37
0.45,0.95,0.30,-17.94,-5.13,7.81
0.47,0.91,0.31,-12.39,-0.92,6.65
0.47,0.89,0.32,-6.96,-0.61,6.41
0.43,0.90,0.32,-1.16,-2.93,5.62
0.46,0.87,0.36,3.66,-2.14,4.88
0.45,0.89,0.35,0.67,-5.13,4.15
0.50,0.91,0.35,-3.72,-7.63,3.60
0.52,0.92,0.35,-6.96,-13.73,0.61
0.53,0.90,0.39,-14.65,-29.97,-3.72
0.55,0.89,0.31,-11.96,-31.50,-7.08
0.50,0.89,0.31,-7.39,-39.43,-11.84
0.43,0.90,0.28,-5.43,-39.00,-16.24
0.36,0.89,0.29,-6.90,-29.48,-19.78
0.34,0.88,0.28,-12.09,-15.56,-22.77
0.36,0.88,0.29,-18.01,-2.69,-22.64
0.38,0.86,0.29,-22.03,2.75,-21.00
0.41,0.88,0.29,-25.51,1.10,-18.19
0.45,0.89,0.29,-27.41,0.31,-13.61
0.49,0.93,0.24,-29.05,-2.44,-10.25
0.49,0.99,0.22,-28.57,-8.73,-14.04
0.44,1.01,0.17,-21.85,-18.92,-28.87
0.34,0.96,0.14,-17.70,-20.51,-46.14
0.32,0.90,0.14,-20.51,-7.08,-54.32
0.30,0.88,0.17,-26.80,3.17,-53.83
0.33,0.90,0.20,-30.15,7.93,-48.83
0.40,0.90,0.19,-33.02,1.83,-41.02
0.45,0.91,0.15,-36.87,-8.73,-34.30
0.42,0.95,0.10,-40.22,-17.82,-34.85
0.32,1.00,0.07,-44.80,-18.07,-44.07
0.24,1.00,0.06,-48.22,-5.07,-56.83
0.20,0.97,0.07,-52.98,14.53,-66.53
0.20,0.96,0.09,-57.13,28.50,-71.17
0.26,0.96,0.11,-56.95,35.34,-68.79
0.31,0.99,0.13,-50.29,31.37,-63.91
0.33,1.01,0.14,-38.70,13.00,-55.79
0.34,1.02,0.10,-25.39,-7.87,-49.26
0.33,1.01,0.06,-16.72,-22.83,-47.06
0.26,1.00,0.01,-15.81,-29.11,-50.72
0.19,1.01,-0.01,-19.04,-22.58,-60.98
0.13,1.00,-0.00,-23.13,-4.52,-72.45
0.11,0.99,0.03,-27.28,15.38,-77.46
0.13,0.97,0.05,-27.83,31.43,-74.77
0.18,0.98,0.07,-23.62,36.74,-67.08
0.19,0.95,0.07,-14.95,27.16,-56.89
0.22,0.89,0.03,-6.78,4.15,-50.29
0.15,0.84,0.01,-5.43,-22.52,-48.22
-1.45,1.24,-1.00,-75.93,-84.23,1.16
-1.64,1.10,-1.20,-64.09,-44.86,-9.58
-1.75,1.00,-1.25,-27.10,13.92,-7.39
-1.57,0.87,-1.12,31.07,82.16,18.56
-1.14,0.72,-0.93,88.20,124.64,59.45
-0.70,0.61,-0.79,133.06,128.60,104.56
-0.27,0.50,-0.72,165.29,119.45,144.72
0.31,0.44,-0.67,183.48,117.37,178.90
1.12,0.47,-0.54,200.02,148.38,206.61
1.91,0.45,-0.33,208.26,193.37,203.25
1.96,0.57,-0.00,190.25,214.85,161.20
1.96,0.84,0.46,172.73,225.84,116.82
1.96,1.06,0.87,190.74,217.35,85.82
1.96,1.07,1.15,226.57,164.80,57.50
1.96,0.83,1.29,252.69,84.48,31.98
1.75,0.52,1.33,237.37,9.03,13.61
1.30,0.32,1.27,179.39,-45.41,1.89
0.93,0.23,1.11,101.14,-71.41,-3.30
0.67,0.24,0.85,19.41,-72.51,-4.76
0.53,0.33,0.59,-47.00,-67.63,-1.34
0.44,0.42,0.30,-91.43,-66.47,0.31
0.35,0.48,0.05,-117.44,-67.93,-2.01
0.24,0.52,-0.15,-129.03,-60.49,-6.35
0.14,0.57,-0.26,-127.63,-42.18,-9.52
0.09,0.63,-0.30,-115.18,-19.84,-8.18
0.05,0.68,-0.27,-95.28,-3.36,-1.04
0.03,0.72,-0.22,-74.59,4.52,10.07
0.05,0.80,-0.15,-59.14,8.97,22.58
0.14,0.89,-0.10,-45.96,10.99,31.62
0.22,0.98,-0.04,-32.47,7.32,34.67
0.31,1.06,0.01,-19.10,3.54,35.71
0.38,1.13,0.03,-4.52,-2.81,34.67
0.41,1.18,0.07,8.36,-10.44,32.11
0.40,1.22,0.11,20.33,-14.95,27.65
0.38,1.23,0.16,26.73,-14.89,23.38
0.38,1.22,0.22,28.02,-11.90,19.41
0.39,1.19,0.24,25.70,-8.24,15.50
0.43,1.15,0.27,21.18,-6.65,13.18
0.44,1.11,0.28,16.48,-5.31,10.56
0.44,1.10,0.29,13.00,-4.64,5.98
0.42,1.06,0.31,12.09,-7.45,-1.46
0.38,1.03,0.32,11.96,-10.56,-8.55
0.33,0.99,0.34,10.56,-10.68,-12.15
0.32,0.96,0.34,6.96,-10.80,-12.39
0.35,0.96,0.34,3.05,-11.35,-10.80
0.40,0.96,0.33,0.67,-13.00,-7.93
0.44,0.94,0.32,-1.59,-15.63,-4.82
0.46,0.95,0.30,-4.58,-18.13,-3.91
0.45,0.96,0.28,-7.39,-19.84,-5.43
0.40,0.96,0.27,-10.38,-19.53,-9.40
0.36,0.94,0.27,-16.17,-16.30,-13.49
0.36,0.91,0.26,-24.84,-7.69,-15.87
0.39,0.91,0.25,-34.18,0.55,-17.27
0.44,0.93,0.24,-39.37,5.80,-19.23
